area,i,j,cell,bounds,tile,well
63,30.07936507936508,861.015873015873,53,"(26, 857, 35, 866)",1,A1
126,32.94444444444444,268.1507936507937,54,"(27, 262, 40, 275)",1,A1
77,30.337662337662337,846.3506493506494,55,"(27, 841, 35, 853)",1,A1
61,32.278688524590166,103.42622950819673,56,"(28, 100, 38, 108)",1,A1
131,33.79389312977099,280.31297709923666,57,"(28, 274, 41, 287)",1,A1
75,33.56,492.85333333333335,58,"(28, 489, 40, 498)",1,A1
84,33.285714285714285,947.2857142857143,59,"(28, 942, 39, 953)",1,A1
101,32.31683168316832,979.1683168316831,60,"(28, 973, 38, 986)",1,A1
101,34.05940594059406,1071.4257425742574,61,"(28, 1067, 41, 1077)",1,A1
123,33.61788617886179,1089.9674796747968,62,"(28, 1084, 40, 1097)",1,A1
103,34.37864077669903,81.52427184466019,63,"(29, 76, 41, 89)",1,A1
113,35.92035398230089,1113.4424778761063,64,"(30, 1108, 43, 1120)",1,A1
71,35.070422535211264,1173.2535211267605,65,"(30, 1170, 41, 1178)",1,A1
104,36.39423076923077,136.98076923076923,66,"(31, 132, 43, 143)",1,A1
85,35.67058823529412,317.22352941176473,67,"(31, 312, 41, 324)",1,A1
71,35.36619718309859,838.2253521126761,68,"(31, 834, 41, 843)",1,A1
77,36.74025974025974,44.55844155844156,69,"(32, 40, 42, 50)",1,A1
122,38.549180327868854,532.0737704918033,70,"(32, 527, 46, 538)",1,A1
79,37.0126582278481,923.620253164557,71,"(32, 919, 43, 929)",1,A1
60,36.75,118.6,72,"(33, 115, 42, 124)",1,A1
94,37.97872340425532,413.6914893617021,73,"(33, 409, 44, 420)",1,A1
79,36.848101265822784,896.7721518987341,74,"(33, 892, 42, 903)",1,A1
56,37.5,13.0,75,"(34, 9, 42, 18)",1,A1
90,39.24444444444445,374.1111111111111,76,"(34, 369, 45, 380)",1,A1
98,39.43877551020408,433.3469387755102,77,"(34, 428, 46, 439)",1,A1
103,38.48543689320388,635.4368932038835,78,"(34, 629, 44, 643)",1,A1
57,37.92982456140351,1042.4561403508771,79,"(34, 1039, 43, 1047)",1,A1
67,39.97014925373134,33.11940298507463,80,"(35, 29, 45, 38)",1,A1
96,38.96875,601.3229166666666,81,"(35, 595, 45, 608)",1,A1
82,39.75609756097561,620.7439024390244,82,"(35, 616, 46, 626)",1,A1
68,38.51470588235294,880.7205882352941,83,"(35, 876, 43, 886)",1,A1
112,40.982142857142854,150.10714285714286,84,"(36, 144, 47, 157)",1,A1
120,42.11666666666667,302.125,85,"(36, 296, 49, 309)",1,A1
110,40.56363636363636,964.0909090909091,86,"(36, 958, 46, 971)",1,A1
117,42.73504273504273,1058.5726495726497,87,"(37, 1053, 50, 1065)",1,A1
73,41.12328767123287,1160.4794520547946,88,"(37, 1156, 46, 1166)",1,A1
67,42.701492537313435,1032.1194029850747,89,"(38, 1028, 49, 1037)",1,A1
75,43.84,938.4266666666666,90,"(39, 934, 49, 944)",1,A1
68,43.455882352941174,724.8676470588235,91,"(40, 720, 48, 731)",1,A1
64,44.40625,64.90625,92,"(41, 61, 49, 70)",1,A1
60,45.3,124.18333333333334,93,"(41, 120, 50, 129)",1,A1
77,45.97402597402598,482.1038961038961,94,"(41, 478, 52, 487)",1,A1
107,47.700934579439256,677.7663551401869,95,"(41, 672, 56, 684)",1,A1
74,45.608108108108105,1183.9324324324325,96,"(41, 1180, 51, 1189)",1,A1
61,46.16393442622951,106.59016393442623,97,"(42, 103, 51, 112)",1,A1
114,47.92982456140351,913.8070175438596,98,"(42, 908, 55, 921)",1,A1
103,47.96116504854369,1022.3300970873786,99,"(42, 1017, 54, 1029)",1,A1
141,49.54609929078014,400.5177304964539,100,"(43, 395, 57, 407)",1,A1
106,47.905660377358494,1133.7924528301887,101,"(43, 1128, 54, 1141)",1,A1
133,50.62406015037594,382.57142857142856,102,"(44, 377, 58, 389)",1,A1
66,49.04545454545455,45.39393939393939,103,"(45, 41, 54, 51)",1,A1
95,49.54736842105263,594.5052631578948,104,"(45, 589, 56, 601)",1,A1
76,48.973684210526315,793.7763157894736,105,"(45, 789, 54, 799)",1,A1
64,50.109375,93.546875,106,"(46, 90, 56, 98)",1,A1
95,50.50526315789474,546.7368421052631,107,"(46, 541, 56, 553)",1,A1
104,51.19230769230769,1002.7307692307693,108,"(46, 997, 58, 1009)",1,A1
86,51.02325581395349,354.24418604651163,109,"(47, 349, 56, 360)",1,A1
66,51.56060606060606,663.8787878787879,110,"(47, 660, 57, 669)",1,A1
93,51.795698924731184,889.752688172043,111,"(47, 884, 58, 896)",1,A1
65,51.323076923076925,1044.9692307692308,112,"(47, 1041, 57, 1050)",1,A1
64,52.328125,15.625,113,"(48, 12, 58, 20)",1,A1
96,52.395833333333336,421.46875,114,"(48, 416, 58, 428)",1,A1
79,52.40506329113924,612.9367088607595,115,"(48, 608, 58, 619)",1,A1
75,52.373333333333335,736.8133333333334,116,"(48, 732, 58, 743)",1,A1
90,53.644444444444446,979.5,117,"(48, 975, 60, 985)",1,A1
65,53.04615384615385,31.661538461538463,118,"(49, 27, 58, 37)",1,A1
88,53.875,577.25,119,"(49, 572, 60, 583)",1,A1
81,55.08641975308642,647.8641975308642,120,"(50, 644, 61, 653)",1,A1
68,54.294117647058826,1172.5588235294117,121,"(50, 1169, 60, 1177)",1,A1
68,55.35294117647059,704.2794117647059,122,"(51, 700, 61, 709)",1,A1
63,56.58730158730159,80.66666666666667,123,"(52, 77, 62, 86)",1,A1
91,56.91208791208791,632.4395604395604,124,"(52, 628, 63, 638)",1,A1
88,56.67045454545455,681.4318181818181,125,"(52, 675, 62, 688)",1,A1
84,56.38095238095238,944.7261904761905,126,"(52, 940, 62, 951)",1,A1
86,58.2906976744186,927.2906976744187,127,"(53, 923, 64, 933)",1,A1
84,58.36904761904762,1115.5238095238096,128,"(53, 1111, 64, 1121)",1,A1
