area,i,j,cell,bounds,tile,well
1027,154.4985394352483,931.9571567672833,52,"(136, 916, 174, 950)",1,A2
1649,161.2983626440267,119.72104305639782,53,"(141, 94, 182, 146)",1,A2
1405,164.27046263345196,594.664768683274,54,"(144, 574, 186, 616)",1,A2
1184,162.8623310810811,531.3336148648649,55,"(146, 509, 179, 554)",1,A2
1441,172.43719639139488,1630.3705759888967,56,"(148, 1612, 199, 1649)",1,A2
855,166.8187134502924,881.566081871345,57,"(149, 867, 186, 897)",1,A2
1582,169.4039190897598,1041.629582806574,58,"(149, 1018, 190, 1068)",1,A2
1409,178.291696238467,1326.5621007806956,59,"(155, 1309, 203, 1345)",1,A2
502,169.33665338645417,243.4780876494024,60,"(158, 230, 181, 258)",1,A2
1535,179.47622149837133,2303.14332247557,61,"(161, 2277, 200, 2329)",1,A2
1146,180.15270506108203,828.1378708551483,62,"(163, 807, 200, 848)",1,A2
1268,188.88170347003154,1233.9676656151419,63,"(172, 1210, 207, 1259)",1,A2
1070,191.04018691588786,368.2084112149533,64,"(173, 351, 211, 388)",1,A2
1279,195.347146207975,926.4190774042221,65,"(174, 908, 217, 946)",1,A2
1263,195.82818685669042,1159.714172604909,66,"(174, 1141, 218, 1179)",1,A2
1724,198.61484918793502,1433.8700696055685,67,"(174, 1411, 224, 1456)",1,A2
1851,199.5305240410589,1581.5607779578606,68,"(174, 1559, 226, 1606)",1,A2
1745,193.6406876790831,2167.1736389684816,69,"(175, 2139, 214, 2197)",1,A2
1941,205.37506439979393,198.1885625965997,70,"(183, 173, 231, 225)",1,A2
2118,205.90368271954674,469.3932955618508,71,"(183, 442, 231, 498)",1,A2
1086,206.82504604051564,314.2974217311234,72,"(188, 294, 224, 337)",1,A2
1134,206.88977072310405,642.5061728395061,73,"(188, 623, 226, 663)",1,A2
1594,211.62986198243414,1514.0890840652446,74,"(189, 1492, 235, 1538)",1,A2
1172,209.94453924914677,1273.9257679180887,75,"(190, 1254, 230, 1293)",1,A2
888,209.83783783783784,261.81418918918916,76,"(192, 245, 228, 279)",1,A2
1490,215.07248322147652,2099.2691275167786,77,"(193, 2078, 237, 2121)",1,A2
1135,212.2704845814978,560.7982378854625,78,"(195, 541, 231, 582)",1,A2
1332,223.4512012012012,55.997747747747745,79,"(198, 41, 250, 72)",1,A2
1639,221.10860280658937,2275.203782794387,80,"(198, 2251, 246, 2299)",1,A2
1370,217.4802919708029,113.41313868613139,81,"(200, 89, 236, 139)",1,A2
1312,222.1044207317073,798.9451219512196,82,"(203, 778, 242, 821)",1,A2
